sym,iv,strat,CAGR,MaxDD,Sharpe,WR,PF,n,final
ADAUSDT,1d,donchian_20_10,0.974,-38.127,0.151,15.385,1.05,13,10333.017
ADAUSDT,1d,donchian_55_20,8.517,-23.917,0.553,50.0,3.618,4,13076.912
ADAUSDT,1d,donchian_pyr,71.684,-30.532,1.136,38.462,3.532,13,62077.34
ADAUSDT,1d,qb_hybrid,-0.76,-36.195,0.049,18.75,0.958,16,9745.439
ADAUSDT,1d,qb_hybrid_tr,0.719,-32.926,0.129,18.75,1.044,16,10244.796
ADAUSDT,1d,meanrev,-2.027,-15.175,-0.264,72.727,0.761,11,9331.591
ADAUSDT,1d,qb_v1,6.256,-34.874,0.4,30.0,1.348,20,12267.803
ADAUSDT,1h,donchian_20_10,-23.813,-65.105,-0.491,29.317,0.766,249,3936.446
ADAUSDT,1h,donchian_55_20,2.035,-49.187,0.252,29.851,1.025,134,10713.949
ADAUSDT,1h,donchian_pyr,6.858,-62.941,0.367,31.325,1.058,249,12552.87
ADAUSDT,1h,qb_hybrid,-32.442,-77.319,-0.789,31.802,0.719,283,2607.131
ADAUSDT,1h,qb_hybrid_tr,-33.254,-78.662,-0.878,32.069,0.73,290,2501.231
ADAUSDT,1h,meanrev,-26.072,-70.129,-0.772,57.447,0.804,282,3550.48
ADAUSDT,1h,qb_v1,-34.247,-82.462,-0.716,29.34,0.761,409,2372.461
ADAUSDT,4h,donchian_20_10,7.512,-53.5,0.379,28.571,1.107,63,12812.175
ADAUSDT,4h,donchian_55_20,20.453,-44.815,0.692,23.529,1.447,34,18846.075
ADAUSDT,4h,donchian_pyr,134.344,-34.256,1.517,38.095,2.041,63,184264.04
ADAUSDT,4h,qb_hybrid,-3.275,-57.965,0.079,30.986,0.959,71,8923.202
ADAUSDT,4h,qb_hybrid_tr,-2.465,-51.42,0.09,34.247,0.966,73,9181.607
ADAUSDT,4h,meanrev,-6.995,-30.208,-0.186,61.538,0.861,78,7802.723
ADAUSDT,4h,qb_v1,-14.374,-67.32,-0.22,28.431,0.866,102,5871.609
AVAXUSDT,1d,donchian_20_10,12.06,-30.046,0.646,16.667,2.305,6,14691.021
AVAXUSDT,1d,donchian_55_20,8.114,-38.458,0.494,33.333,2.239,3,12918.243
AVAXUSDT,1d,donchian_pyr,84.405,-20.731,1.273,83.333,120.637,6,79032.331
AVAXUSDT,1d,qb_hybrid,21.375,-36.285,0.92,33.333,2.68,6,19239.378
AVAXUSDT,1d,qb_hybrid_tr,13.371,-24.998,0.801,42.857,3.274,7,15279.716
AVAXUSDT,1d,meanrev,-3.891,-14.999,-0.538,40.0,0.364,10,8745.164
AVAXUSDT,1d,qb_v1,7.732,-38.504,0.442,28.571,1.421,14,12854.775
AVAXUSDT,1h,donchian_20_10,-30.858,-77.532,-0.695,30.418,0.739,263,2822.602
AVAXUSDT,1h,donchian_55_20,10.373,-48.3,0.444,34.058,1.103,138,14020.467
AVAXUSDT,1h,donchian_pyr,-2.56,-51.671,0.192,32.319,0.982,263,9149.454
AVAXUSDT,1h,qb_hybrid,-34.732,-81.061,-0.82,32.632,0.729,285,2316.468
AVAXUSDT,1h,qb_hybrid_tr,-28.196,-73.189,-0.628,33.904,0.781,292,3212.868
AVAXUSDT,1h,meanrev,-46.444,-89.306,-1.649,55.219,0.681,297,1175.939
AVAXUSDT,1h,qb_v1,-34.777,-83.158,-0.625,30.626,0.846,431,2310.944
AVAXUSDT,4h,donchian_20_10,13.086,-41.405,0.5,31.884,1.159,69,15231.492
AVAXUSDT,4h,donchian_55_20,24.798,-40.102,0.731,23.684,1.388,38,21263.643
AVAXUSDT,4h,donchian_pyr,199.005,-34.778,1.72,42.029,2.042,69,424147.138
AVAXUSDT,4h,qb_hybrid,5.012,-52.525,0.321,33.333,1.057,81,11821.477
AVAXUSDT,4h,qb_hybrid_tr,-6.917,-60.823,-0.008,31.765,0.916,85,7824.998
AVAXUSDT,4h,meanrev,-20.575,-56.917,-0.809,59.259,0.6,81,4546.83
AVAXUSDT,4h,qb_v1,21.277,-48.136,0.654,33.654,1.195,104,19319.102
BNBUSDT,1d,donchian_20_10,5.241,-25.164,0.331,33.333,1.48,9,11883.403
BNBUSDT,1d,donchian_55_20,16.646,-21.363,0.758,50.0,5.647,4,16576.028
BNBUSDT,1d,donchian_pyr,58.471,-22.065,1.106,55.556,7.245,9,47364.232
BNBUSDT,1d,qb_hybrid,2.717,-21.0,0.232,36.364,1.257,11,10947.779
BNBUSDT,1d,qb_hybrid_tr,-1.062,-23.325,0.037,30.769,0.893,13,9645.857
BNBUSDT,1d,meanrev,-0.234,-12.569,0.01,70.0,0.961,10,9921.023
BNBUSDT,1d,qb_v1,1.212,-28.511,0.167,35.294,1.082,17,10406.678
BNBUSDT,1h,donchian_20_10,-19.286,-55.372,-0.723,28.279,0.723,244,4797.749
BNBUSDT,1h,donchian_55_20,-11.681,-44.127,-0.384,27.66,0.793,141,6535.802
BNBUSDT,1h,donchian_pyr,-19.269,-55.341,-0.723,28.279,0.724,244,4801.097
BNBUSDT,1h,qb_hybrid,-23.449,-62.78,-0.876,32.5,0.696,280,4001.361
BNBUSDT,1h,qb_hybrid_tr,-20.014,-58.183,-0.76,32.986,0.718,288,4650.941
BNBUSDT,1h,meanrev,-25.812,-68.395,-1.131,56.122,0.713,294,3593.499
BNBUSDT,1h,qb_v1,-33.258,-77.576,-1.193,29.703,0.675,404,2500.699
BNBUSDT,4h,donchian_20_10,2.789,-36.648,0.236,42.623,1.076,61,10987.004
BNBUSDT,4h,donchian_55_20,2.668,-30.118,0.231,37.143,1.111,35,10938.247
BNBUSDT,4h,donchian_pyr,10.714,-34.942,0.49,44.262,1.281,61,14165.676
BNBUSDT,4h,qb_hybrid,2.272,-31.134,0.218,46.269,1.057,67,10798.827
